country,capital,alpha-3,continent,teritory
Greece,Athens,GRC,Europe,"Athens, Modern Greek Athínai, Ancient Greek Athēnai, historic city and capital of Greece. Many of Classical civilization’s intellectual and artistic ideas originated there, and the city is generally considered to be the birthplace of Western civilization. Athens lies 5 miles (8 km) from the Bay of Phaleron, an inlet of the Aegean (Aigaíon) Sea where Piraeus (Piraiévs), the port of Athens, is situated, in a mountain-girt arid basin divided north-south by a line of hills. Greater Athens has an area of 165 square miles (427 square km). The Kifisós River, only a trickle in summer, flows through the western half; the Ilisós River, often dry, traverses the eastern half. The surrounding mountains—Párnis, 4,636 feet (1,413 metres); Pentelicus (Pendéli), 3,631 feet; Hymettos (Imittós), 3,365 feet; and Aigáleon, 1,535 feet—add to the impression of barrenness. Yet such considerations are superficial when compared with the fecundity of Athens’s bequests to the world, such as its philosophy, its architecture, its literature, and its political ideals. For treatment of the city in its regional setting, see Greece; historical and cultural aspects are treated further in the article ancient Greek civilization."
India,New Delhi,IND,Asia,"New Delhi, national capital of India. It is situated in the north-central part of the country on the west bank of the Yamuna River, adjacent to and just south of Delhi city (Old Delhi) and within the Delhi national capital territory. In December 1911 King George V of Britain decreed that the capital of British India would be moved from Calcutta (now Kolkata) to Delhi. Construction began in 1912 at a site about 3 miles (5 km) south of the Delhi city centre, and the new capital was formally dedicated in 1931. The straight and diagonal pattern of the broad tree-lined avenues in New Delhi, with extensive green spaces and wide vistas, contrasts sharply with the crowded, narrow, and winding streets characteristic of Old Delhi. The main east-west axis of New Delhi is Central Vista Park, which is flanked by government buildings, museums, and research centres in a parklike setting. The city is governed by the appointed New Delhi Municipal Council (NDMC)."
Indonesia,Jakarta,IDN,Asia,"Djakarta, largest city and capital of Indonesia. Jakarta lies on the northwest coast of Java at the mouth of the Ciliwung (Liwung River), on Jakarta Bay (an embayment of the Java Sea). It is coextensive with the metropolitan district of Greater Jakarta (Jakarta Raya) and nearly coextensive with the daerah khusus ibukota (special capital district) of Jakarta—the latter also including a number of small offshore islands in the Java Sea. In 1966, when the city was declared a special capital district, it gained a status approximately equivalent to that of a state or province. The city has long been a major trade and financial centre. It has also become an important industrial city and a centre for education."
Islamic Republic of Iran,Tehran,IRN,Asia,"Tehrān, also spelled Teheran, the capital city of Iran and the centre of the province (ostān) of Tehrān, located in north-central Iran at the foot of the Elburz mountain range. Since its establishment as the capital city by Āghā Moḥammad Khān more than 200 years ago, Tehrān has grown from a small city to a major metropolis: situated in an urban region of 14 million inhabitants, Tehrān is Iran’s largest city and one of the most populous cities of the world."
Iraq,Baghdad,IRQ,Asia,"Baghdad, also spelled Bagdad, Arabic Baghdād, formerly Madīnat al-Salām (Arabic: “City of Peace”), city, capital of Iraq and capital of Baghdad governorate, central Iraq. Its location, on the Tigris River about 330 miles (530 km) from the headwaters of the Persian Gulf, is in the heart of ancient Mesopotamia. Baghdad is Iraq’s largest city and one of the most populous urban agglomerations of the Middle East. The city was founded in 762 as the capital of the Abbasid dynasty of caliphs, and for the next 500 years it was the most significant cultural centre of Arab and Islamic civilization and one of the greatest cities of the world. It was conquered by the Mongol leader Hülegü in 1258, after which its importance waned. A provincial capital under the Ottoman Empire, Baghdad regained prominence only when it became the capital of Iraq in 1920; over the next half century, the city grew prodigiously and took on all the characteristics of a modern metropolis. Baghdad was heavily damaged by aerial bombardment during the Persian Gulf War (1990–91) and again by air and ground operations during the Iraq War (2003–11). During the interwar period the city’s services and infrastructure deteriorated badly because of inattention and fiscal constraints resulting from economic sanctions imposed on Iraq by the United Nations (UN). "
Japan,Tokyo,JPN,Asia,"Tokyo, formerly (until 1868) Edo, city and capital of Tokyo to (metropolis) and of Japan. It is located at the head of Tokyo Bay on the Pacific coast of central Honshu. It is the focus of the vast metropolitan area often called Greater Tokyo, the largest urban and industrial agglomeration in Japan. The site of Tokyo has been inhabited since ancient times; the small fishing village of Edo existed there for centuries. Edo’s development into a city did not occur until the Tokugawa period (1603–1867), when it became the capital of the Tokugawa shogunate. During this period, however, the imperial family remained in Kyōto, the ancient imperial capital. With the Meiji Restoration of 1868, which ended the shogunate, the capital was moved to Edo. The city was renamed Tokyo, meaning “eastern capital.” Edo had been Japan’s largest city since the 17th century. Tokyo’s population exceeded one million in the late 19th century, and as Japan’s political, economic, and cultural centre it became one of the world’s most populous cities in the 20th century."
Jordan,Amman,JOR,Asia,"Amman, Arabic ʿAmmān, biblical Hebrew Rabbath Ammon, ancient Greek Philadelphia, capital and largest city of Jordan. It is the residence of the king and the seat of government. The city is built on rolling hills at the eastern boundary of the ʿAjlūn Mountains, on the small, partly perennial Wadi ʿAmmān and its tributaries. Amman’s focus of settlement throughout history has been the small high triangular plateau (modern Mount Al-Qalʿah) just north of the wadi. Fortified settlements have existed there since remote antiquity; the earliest remains are of the Chalcolithic Age (c. 4000–c. 3000 bce). Later the city became capital of the Ammonites, a Semitic people frequently mentioned in the Bible; the biblical and modern names both trace back to “Ammon.” The “royal city” taken by King David’s general Joab (II Samuel 12:26) was probably the acropolis atop the plateau. King David sent Uriah the Hittite to his death in battle before the walls of the city so that he might marry his wife, Bathsheba (II Samuel 11); the incident is also a part of Muslim folklore. The population of the Ammonite cities was much reduced under King David. David’s son Solomon (flourished 10th century bce) had Ammonite wives in his harem, one of whom became the mother of Rehoboam, Solomon’s successor as king of Judah."
Kazakhstan,Astana,KAZ,Asia,"Astana, formerly (until 1961) Akmolinsk, (1961–92) Tselinograd, (1992–98) Aqmola, and (2019–22) Nur-Sultan, city, capital of Kazakhstan. Astana lies in the north-central part of the country, along the Ishim River, at the junction of the Trans-Kazakhstan and South Siberian railways. It was founded in 1824 as a Russian military outpost and became an administrative centre in 1868. Its population had reached 33,000 when it was made an oblast (province) centre in 1939. The city’s importance was greatly enhanced during the Soviet period by the government’s Virgin and Idle Lands Campaign of the mid-1950s—Tselinograd was Russian for “City of the Virgin Lands”—and by the city’s role as capital of a kray (region) that united the five northern provinces of the Kazakh Soviet Socialist Republic in 1960–65. There was much new construction and the establishment of various research and higher educational institutions (teacher training, agriculture, medicine, and engineering and construction)."
Kenya,Nairobi,KEN,Africa,"Nairobi, city, capital of Kenya. It is situated in the south-central part of the country, in the highlands at an elevation of about 5,500 feet (1,680 metres). The city lies 300 miles (480 km) northwest of Mombasa, Kenya’s major port on the Indian Ocean. The city originated in the late 1890s as a colonial railway settlement, taking its name from a water hole known to the Maasai people as Enkare Nairobi (“Cold Water”). When the railhead arrived there in 1899, the British colonial capital of Ukamba province was transferred from Machakos (now Masaku) to the site, and in 1905 Nairobi became the capital of the British East Africa Protectorate. From about 1900 onward, when a small Indian bazaar was established at Nairobi, the city was also a trading centre."
Italy,Rome,ITA,Europe,"Rome, Italian Roma, historic city and capital of Roma provincia (province), of Lazio regione (region), and of the country of Italy. Rome is located in the central portion of the Italian peninsula, on the Tiber River about 15 miles (24 km) inland from the Tyrrhenian Sea. Once the capital of an ancient republic and empire whose armies and polity defined the Western world in antiquity and left seemingly indelible imprints thereafter, the spiritual and physical seat of the Roman Catholic Church, and the site of major pinnacles of artistic and intellectual achievement, Rome is the Eternal City, remaining today a political capital, a religious centre, and a memorial to the creative imagination of the past. The Roman countryside, the Campagna, was one of the last areas of central Italy to be settled in antiquity. Rome was built on a defensible hill that dominated the last downstream, high-banked river crossing where traverse of the Tiber was facilitated by a midstream island. This hill, Palatine Hill, was one of a group of hills, traditionally counted as seven, around which the ancient city grew. The other hills are the Capitoline, the Quirinal, the Viminal, the Esquiline, the Caelian, and the Aventine."
Kuwait,Kuwait City,KWT,Asia,"Kuwait, country of the Arabian Peninsula located in the northwestern corner of the Persian Gulf. A small emirate nestled between Iraq and Saudi Arabia, Kuwait is situated in a section of one of the driest, least-hospitable deserts on Earth. Its shore, however, includes Kuwait Bay, a deep harbour on the Persian Gulf. There, in the 18th century, Bedouin from the interior founded a trading post. The name Kuwait is derived from the Arabic diminutive of the Hindustani kūt (“fort”). Since the emirate’s ruling family, the Āl Ṣabāḥ, formally established a sheikhdom in 1756, the country’s fortunes have been linked to foreign commerce. In time and with accumulated wealth, the small fort grew to become Kuwait city, a modern metropolis mingling skyscrapers, apartment buildings, and mosques. Kuwait city has most of the country’s population, which makes Kuwait one of the world’s most-urbanized countries."
Lao People's Democratic Republic,Vientiane,LAO,Asia,"Vientiane, also spelled Viangchan, largest city and capital of Laos, situated on a plain just northeast of the Mekong River. The city’s central river port location in a country relying heavily on its rivers for transportation and its surrounding hinterland of intensive rice cultivation have made Vientiane the major economic centre of Laos. The city has a tropical monsoon climate, every month having an average daytime temperature above 80 °F (27 °C) and more than 80 percent of Vientiane’s annual precipitation on the average falling in the five months May–September. The town was founded during the late 13th century, and in the mid-16th century the capital of the Lao kingdom (a state known as Lan Xang) was moved to Vientiane from its previous traditional location at Luang Prabang (now Louangphrabang). In 1778 Vientiane came under Siamese control; in 1828 it was sacked and destroyed when the subject Laotian king revolted against Siamese hegemony. From 1899 to 1953, with the exception of the Japanese occupation (1945), Vientiane was in succession the seat of the French governor and the French administrative capital."
Lesotho,Maseru,LSO,Africa,"Maseru, capital and largest urban centre of Lesotho. It is on the left bank of the Caledon River near the border with Free State province, South Africa. In 1869 the chief of the Sotho (Basotho) nation, Moshoeshoe, founded the town near his mountain stronghold of Thaba Bosiu; few of the 19th-century buildings remain. Lesotho is linked with the South African railway system by a short line from Maseru to Marseilles on the Bloemfontein–KwaZulu-Natal main line, thus providing an outlet for farm produce, trade, and the transport of labourers. Maseru, in turn, is linked by road and airstrips to other areas of mountainous Lesotho and by scheduled air service to Johannesburg. The National Assembly chamber buildings and the High Court buildings of Lesotho are in Maseru, as are Radio Lesotho, a technical school, and the Lesotho Agricultural College, founded in 1955. The town of Roma, 15 miles (24 km) southeast of Maseru, is the site of the National University of Lesotho (established 1975)."
Liberia,Monrovia,LBR,Africa,"Monrovia, capital, largest city, and chief Atlantic port of Liberia, located on Bushrod Island and Cape Mesurado. It was founded during the administration of U.S. Pres. James Monroe (for whom it was named) by the American Colonization Society as a settlement for freed American slaves. The first town (1822) was on Providence Island at the mouth of the Mesurado River. The population is composed of descendants of settlers from North America, most of whom arrived between 1830 and 1871, and of substantial numbers of immigrants from the interior. Bushrod Island contains the artificial harbour and free port of Monrovia, the only such port in West Africa. As the national centre of commerce and transportation, it attracted petroleum, paint, tuna, pharmaceutical, and cement enterprises. Prominent buildings have included the Capitol (1958), the Executive Mansion (1964), the City Hall, and the Temple of Justice. Many of these and other buildings, however, were severely damaged or destroyed during the fierce multisided civil war beginning in 1990."
Libya,Tripoli,LBY,Africa,"Tripoli, Arabic Ṭarābulus, in full Ṭarābulus al-Gharb (“The Western Tripoli”), capital city of Libya. Situated in northwestern Libya along the Mediterranean coast, it is the country’s largest city and chief seaport. The city was known as Oea in ancient times and was one of the original cities (along with Sabratha and Leptis Magna) that formed the African Tripolis, or Tripolitania. Occupying a rocky promontory overlooking the sea and located due south of Sicily, the city was founded by the Phoenicians and later controlled by the Romans (146 bce until about 450 ce), the Vandals (5th century), and the Byzantines (6th century). During the invasions by the Vandals the walls of the cities of Sabratha and Leptis Magna were destroyed, and this resulted in the growth of Tripoli, which had previously been the least important of the three cities. In 645 the city fell to Arab Muslims led by ʿAmr ibn al-ʿĀṣ, and it subsequently remained under Arab control (except from 1146 to 1158, when it was taken by Sicilian Normans). It was stormed by the Spanish in 1510 and was conquered by the Turks in 1551, after which it was made a colonial capital of the Ottoman Empire. From 1911 to 1943 it was in Italian hands, and from then until Libya’s independence in 1951 it was occupied by the British."
Liechtenstein,Vaduz,LIE,Europe,"Vaduz, capital of Liechtenstein, central Europe, in the Rhine Valley. The seat of one of the two former lordships (Schellenberg and Vaduz) that united to form the principality in 1719, Vaduz is a flourishing tourist centre and the residence of the ruling prince, whose castle overlooks the town. Mentioned in a document of c. 1322, destroyed in the Swabian Wars (1499), and rebuilt in the following centuries, the castle was restored in 1905–16 in 16th-century style. Although it has belonged to the princes since 1712, Francis Joseph II, who succeeded to the monarchy in 1938, was the first to make it his permanent residence. The town’s Fürst Liechtensteinische Gemäldegalerie displays parts of the world-famous art collection of the princes of Liechtenstein. The State Art Collection includes works by 20th-century painters, and the Liechtenstein Postal Museum has a collection of stamps, including all of those issued by the country since 1912"
Lithuania,Vilnius,LTU,Europe,"Vilnius, Russian Vilnyus, Polish Wilno, Russian (formerly) Vilna, city, capital of Lithuania, at the confluence of the Neris (Russian Viliya) and Vilnia rivers. A settlement existed on the site in the 10th century, and the first documentary reference to it dates from 1128. In 1323 the town became capital of Lithuania under Grand Duke Gediminas; it was destroyed in 1377 by the Teutonic Knights. Subsequently rebuilt, Vilnius received its charter of self-government in 1387, and a Roman Catholic bishopric was established there. The town and its trade flourished and grew; in 1525 a printing press was set up, and in 1579 a Jesuit academy was opened. The city underwent many calamities—Russian occupation in 1655–60, Swedish capture in 1702 and 1706, French occupation in 1812, and recurrent fires and plagues. In 1795 Vilnius passed to Russia in the Third Partition of Poland. It was occupied by the Germans in World Wars I and II and suffered heavy damage. From 1920 to 1939 it was included in Poland (see Vilnius dispute); it was taken by Soviet troops in 1939 and restored to Lithuania. The Soviets annexed Lithuania, including Vilnius, in June 1940. Soviet rule brought mass deportations (1940–41, 1946–50) of ethnic Lithuanians from Vilnius, and many Russians moved into the city. In 1970 the population of Vilnius was 43 percent ethnically Lithuanian (up from 34 percent in 1959) and 18 percent Polish. In 1991 Vilnius again became the capital of independent Lithuania."
Madagascar,Antananarivo,MDG,Africa,"Antananarivo, formerly Tananarive, town and national capital of Madagascar, central Madagascar island. It was founded in the 17th century and was the capital of the Hova chiefs. Antananarivo stands on a high hill. Avenues and flights of steps lead up to a rocky ridge (4,694 feet [1,431 metres]) on which stands the Royal Estate, with towered palaces built by the Imerina kings who captured the town in 1794 and ruled until the end of the 19th century. Below are banks and administrative buildings and lower still the commercial quarter. Public buildings include the French Residency and the Anglican and Roman Catholic cathedrals, and there are research institutes, an observatory, and the Bibliothèque Nationale. The University of Madagascar was founded there in 1961. Industries include tobacco and food processing and the manufacture of leather goods and clothing. Air transport is widely used, and the international airport at Ivato is 11 miles (17 km) north of the city. A railway connects the capital with Toamasina, the island’s chief port, to the east, as well as with Antsirabe to the south and Lake Alaotra to the north."
Malaysia,Kuala Lumpur,MYS,Asia,"Kuala Lumpur, capital of Malaysia. The city is located in west-central Peninsular (West) Malaysia, midway along the west coast tin and rubber belt and about 25 miles (40 km) east of its ocean port, Port Kelang, on the Strait of Malacca. It is the country’s largest urban area and its cultural, commercial, and transportation centre. In 1972 Kuala Lumpur was designated a municipality, and in 1974 this entity and adjacent portions of surrounding Selangor state became a federal territory. Kuala Lumpur lies in hilly country astride the confluence of the Kelang and Gombak rivers; its name in Malay means “muddy estuary.” Malaysia’s Main Range rises nearby to the north, east, and southeast. The climate is equatorial, with high temperatures and humidity that vary little throughout the year. The area receives about 95 inches (2,400 mm) of rain annually; June and July are the driest months."
Mali,Bamako,MLI,Africa,"Bamako, capital of Mali, located on the Niger River in the southwestern part of the country. When occupied for the French in 1880 by Captain Joseph-Simon Gallieni, Bamako was a settlement of a few hundred inhabitants, grouped in villages. It became the capital of the former colony of French Sudan in 1908, four years after the Kayes–Bamako segment of the Dakar–Niger Railway (now the Regie des Chemins de Fer du Mali) was opened. Bamako now spans both sides of the Niger River, which is navigable 225 miles (360 km) south, to Kouroussa, Guinea, from mid-June to mid-December. To the north a canal around the Sotuba Rapids has opened the northeastern section of the river to shipping as far as Gao (869 miles [1,398 km]). Cement and petroleum products are shipped downstream from Bamako, with rice and groundnuts (peanuts) coming upstream for transshipment via the railway. The city is also served by an airport."
Malta,Valletta,MLT,Europe,"Valletta, also spelled Valetta, seaport and capital of Malta, on the northeast coast of the island of Malta. The nucleus of the city is built on the promontory of Mount Sceberras that runs like a tongue into the middle of a bay, which it thus divides into two harbours, Grand Harbour to the east and Marsamxett Harbour to the west. Built after the Great Siege of Malta in 1565, which checked the advance of Ottoman power in southern Europe, it was named for Jean Parisot de la Valette, grand master of the order of Hospitallers (Knights of St. John of Jerusalem), and became Malta’s capital in 1570. The Hospitallers were driven out by the French in 1798, and a Maltese revolt against the French garrison led to Valletta’s seizure by the British in 1800. After 1814 the city became a strategic British Mediterranean naval and military base of the first order; it was subjected to severe bombing raids in World War II and was the place where the Italian fleet surrendered to the Allies in 1943."
Mauritius,Port Louis,MUS,Africa,"Port Louis, city, capital, and main port of the island of Mauritius in the western Indian Ocean. It lies between a well-sheltered, deepwater harbour, accessible to ships through a break in the coral reef, and a semicircle of mountains. Port Louis was founded about 1736 by the French as a calling place for ships rounding the Cape of Good Hope (South Africa) on the passage between Asia and Europe. British occupation of the island during the Napoleonic Wars (1800–15) was a strategic factor in securing control of the Indian Ocean, but the opening of the Suez Canal in 1869 resulted in the port being bypassed by shipping. Port activity increased during the closure of the Suez Canal (1967–75), and the harbour was modernized in the late 1970s. The city is the central collecting and clearing point for all imports and exports from Mauritius and its dependencies and is connected by road to the rest of the island. Sugar exports, once the mainstay of the economy, have been superceded in importance by manufacturing (notably textiles) and services (notably tourism)."
Moldova (the Republic of),Chisinau,MDA,Europe,"Chișinău, formerly Kishinyov, also spelled Kishinev or Kišin’ov, city and capital of Moldova (Moldavia). It is situated along the Bâcu (Byk) River, in the south-central part of the country. The first documentary reference to Chișinău dates from 1466, when it was under the rule of the Moldavian prince Ștefan III. After Ștefan’s death the city fell under the control of the Ottoman Turks. Gradually Chișinău’s trading importance increased, though the city suffered severe destruction in the Russo-Turkish War of 1788. In 1812 Chișinău was ceded to Russia with the rest of Bessarabia. It was henceforth known by its Russian name, Kishinyov."
Monaco,Monaco,MCO,Europe,"Monaco, officially Principality of Monaco, French Principauté de Monaco, sovereign principality located along the Mediterranean Sea in the midst of the resort area of the Côte d’Azur (French Riviera). The city of Nice, France, lies 9 miles (15 km) to the west, the Italian border 5 miles (8 km) to the east. Monaco’s tiny territory occupies a set of densely clustered hills and a headland that looks southward over the Mediterranean. Many unusual features, however, have made Monaco among the most luxurious tourist resorts in the world and have given it a fame far exceeding its size. Many visitors to Monaco alternate their hours between its beaches and boating facilities, its international sports-car races, and its world-famous Place du Casino, the gambling centre in the Monte-Carlo section that made Monte-Carlo an international byword for the extravagant display and reckless dispersal of wealth."
Mongolia,Ulaanbaatar,MNG,Asia,"Ulaanbaatar, also spelled Ulan Bator, formerly Urga or Niislel Khureheh, capital and largest city of Mongolia. It is situated on the Tuul River on a windswept plateau at an elevation of 4,430 feet (1,350 m). The city originated as a seasonal migratory abode of the Mongolian princes and in 1639 finally attained permanence on the present site with the construction of Da Khure Monastery. This building became the residence of the bodgo-gegen, high priest of the Tibetan Buddhist religion (to which the Mongols adhere), and remained as such for about 200 years. Da Khure became known to the Russians as Urga and developed as a trade centre between China and Russia. In 1911, when Outer Mongolia declared itself independent, the city was renamed Niislel Khureheh (“Capital of Mongolia”). In 1921 it was occupied by troops of Mongolia’s revolutionary leader, Damdiny Sühbaatar, and the Soviet Red Army. When Mongolia was declared a people’s republic in 1924, the city was renamed Ulaanbaatar, which means “Red Hero.”"
Montenegro,Podgorica,MNE,Europe,"Podgorica, formerly (1946–92) Titograd, city, administrative centre of Montenegro. It is situated in southern Montenegro near the confluence of the Ribnica and Morača rivers. The first recorded settlement was Birziminium, a caravan stop in Roman times, though it probably was an Illyrian tribal centre earlier. As a feudal state capital in the early Middle Ages, it was known as Ribnica; it was called Podgorica from 1326. It fell to the Turks in 1474 but was restored to Montenegro in 1878. In 1916 it was occupied by the Austrians, in 1941 by the Italians, and in 1943 by the Germans. Only the Turkish clock tower (late 18th century), a mosque, and several houses survived the destruction of the old city in World War II. The city’s bloody history is portrayed through a large number of war memorials. In the postwar communist period the city was known as Titograd in honour of Yugoslav leader Josip Broz Tito. After the collapse of communism, the city revived its old name, Podgorica, in 1992. Podgorica has several cultural and educational institutions, including the University of Montenegro (1974). Manufactures are mainly consumer items; in 1972 an aluminum works began exploiting rich bauxite deposits nearby."
Morocco,Rabat,MAR,Africa,"Rabat, Arabic Ribāṭ, city and capital of Morocco. One of the country’s four imperial cities, it is located on the Atlantic coast at the mouth of the Wadi Bou Regreg, opposite the city of Salé. The history of Rabat is closely connected to that of Salé, the site of which was first occupied by the Roman settlement of Sala (Shella). During the 10th century, Salé was established by the Zanātah Imazighen (Berbers), who were Sunni Muslims, to house the nonconformist Barghawāṭah Imazighen."
Mozambique,Maputo,MOZ,Africa,"Maputo, formerly (until 1976) Lourenço Marques, port city and capital of Mozambique. It lies along the north bank of Espírito Santo Estuary of Delagoa Bay, an inlet of the Indian Ocean. Maputo derived its former name from the Portuguese trader who first explored the region in 1544. The town developed around a Portuguese fortress completed in 1787. Created a city town in 1887, it superseded the town of Moçambique as the capital of Portuguese East Africa in 1907. Maputo has a healthful climate, tempered by sea breezes. The city has a natural history museum and a university (1962). Its fine bathing beaches made it a popular resort for white South Africans and Rhodesians before Mozambique became independent in 1975; thereafter, revenues from tourism, once a major economic factor, virtually ended."
Myanmar,Naypyidaw,MMR,Asia,"Nay Pyi Taw, (Burmese: “Abode of Kings”) also spelled Nay Pyi Daw or Naypyidaw, city, capital of Myanmar (Burma). Nay Pyi Taw was built in the central basin of Myanmar in the early 21st century to serve as the country’s new administrative centre. In 2004 construction of Nay Pyi Taw began on an isolated site near the city of Pyinmana, some 200 miles (320 km) north of the then capital city of Yangon (formerly Rangoon). Holding that relocation of the capital would facilitate accessibility of the government from all parts of the country, the administration began its move in 2005, first to Pyinmana and then to Nay Pyi Taw, which was proclaimed the capital in March 2006. In its early years Nay Pyi Taw consisted of little more than government buildings, luxury hotels, apartments, and an airport, and it was populated primarily by civil servants, many of whose families remained in Yangon because of the lack of shops, restaurants, and other amenities in the new capital. Despite its limited facilities, the burgeoning city was provided with an uninterrupted supply of electricity—a rarity elsewhere in the country. Use of the airport at Nay Pyi Taw generally has been restricted to military personnel; otherwise, the city is accessible by road or by rail (with a station at nearby Pyinmana) from Yangon."
Turkmenistan,Ashgabat,TKM,Asia,"Ashgabat, formerly Ashkhabad, Ashkabad, Askhabad, or (1919–27) Poltoratsk, city and capital of Turkmenistan. It lies in an oasis at the northern foot of the Kopet-Dag (Turkmen: Köpetdag) Range and on the edge of the Karakum (Turkmen: Garagum) Desert, about 19 miles (30 km) from the Iranian frontier. It was founded in 1881 as a Russian military fort and took the name of the nearby Turkmen settlement of Askhabad. It became the administrative centre of the Transcaspian oblast (province) and, because of its position on the caravan routes and on the Transcaspian Railway, attracted a population that numbered more than 45,000 by 1911. After the Russian Revolution the city soon was renamed Poltoratsk, after a local revolutionary. From 1924 to 1990 it was the capital of Turkmenistan, U.S.S.R.; in 1927 it reverted to its original name, Ashkhabad. One of the most violent earthquakes ever registered in the region virtually destroyed the city in October 1948; it was rebuilt on the same regular plan. A chronic water shortage was alleviated considerably when the Karakum Canal reached the city in 1962. In 1992 the government of newly independent Turkmenistan officially adopted the Turkmen version of the city’s name, Ashgabat.

Ashgabat is now an administrative, industrial, transportation, and cultural centre. The city has glassworks, carpet-weaving and cotton mills, and metalworking shops. Its spectacular natural setting also made it a centre for the filmmaking industry. There are several institutions of higher education, including Turkmen A.M. Gorkii State University (1950) and polytechnic, agricultural, and medical institutes."
Namibia,Windhoek,NAM,Africa,"Windhoek, town, capital of Namibia, located roughly in the centre of the country. It lies at an elevation of 5,428 feet (1,654 metres) and is about 400 miles (650 km) north of the Orange River and 760 miles (1,225 km) north of Cape Town, South Africa. The town is surrounded by dry, arid country, but a circular chain of hills protects it from excessive dry winds. Before European settlement began, the town was known as Aigams, meaning “hot water,” in reference to the hot springs in the region. The area was initially settled by Khoekhoe and Herero peoples. In 1890 the site of the present town was claimed for the German government. In 1915 South African forces occupied Windhoek and initiated their claim for the country, then known as South West Africa. When Namibia became independent in 1990, Windhoek transformed from a territorial capital into a national capital."
Nepal,Kathmandu,NPL,Asia,"Kathmandu, also spelled Katmandu or Kantipur, capital of Nepal. It lies in a hilly region near the confluence of the Baghmati and Vishnumati rivers, at an elevation of 4,344 feet (1,324 metres) above sea level. It was founded in 723 by Raja Gunakamadeva. Its early name was Manju-Patan; the present name refers to a wooden temple (kath, “wood”; mandir, “temple” or “edifice”) said to have been built from the wood of a single tree by Raja Lachmina Singh in 1596. A building, supposedly the original, still stands in the central square and is used for the accommodation of sadhus (holy men). Kathmandu served as the seat of the ruling Shah family of the Gurkha people from 1768 to 2008."
Niger,Niamey,NER,Africa,"Niamey, city, capital of Niger. Located along the Niger River in the southwest corner of the republic, it originated as an agricultural village of Maouri, Zarma (Zerma, Djerma), and Fulani people. It was established as the capital of Niger colony in 1926, and after World War II it grew rapidly. Today Niamey is occupied by Yoruba and Hausa traders, merchants, officials, and craftsmen from Nigeria, Benin, and Togo as well as from other parts of Niger. The city, which lies mainly on the left (north) bank of the river, has expanded onto the right bank since the construction of the Kennedy Bridge in 1970."
North Korea,Pyongyang,PRK,Asia,"P’yŏngyang, province-level municipality and capital of North Korea. It is located in the west-central part of the country, on the Taedong River about 30 miles (48 km) inland from Korea Bay of the Yellow Sea. The city site occupies a level area on both sides of the river, and the built-up area spreads northward and eastward toward low mountains. P’yŏngyang is reputed to be the oldest city in Korea."
China,Beijing,CHN,Asia,"The city of Beijing is situated at the northern apex of the roughly triangular North China Plain and lies at an elevation between about 100 and 130 feet (30 and 40 metres) above sea level. The larger municipality is almost completely surrounded by Hebei province, except for two short stretches bordering Tianjin municipality to the southeast. The Yan Mountains lie along the municipality’s northeastern side, and the Jundu Mountains occupy its entire western region; together these form a concave arc that circles the Beijing lowland from the northeast to the southwest to form what is known to geologists as the “Bay of Beijing.”

The city was built at the mouth of this embayment, which opens onto the great plain to the south and east, and between two rivers, the Yongding and the Chaobai, which eventually join to empty into the Bo Hai (Gulf of Chihli) in Tianjin municipality, some 100 miles (160 km) southeast of Beijing. To the south of the city the plain spreads out for about 400 miles (650 km) until it merges into the lower valley and the delta of the Yangtze River (Chang Jiang). On the east the plain is bounded by the sea, except for the break caused by the Shandong Hills; on the west it is flanked by the Taihang Mountains, which constitute the eastern edge of the Loess Plateau (loess is loamy material deposited by wind)."
United Kingdom of Great Britain and Northern Ireland,Belfast,GBR,Europe,"Belfast, Irish Béal Feirste, city, district, and capital of Northern Ireland, on the River Lagan, at its entrance to Belfast Lough (inlet of the sea). It became a city by royal charter in 1888. After the passing of the Government of Ireland Act, 1920, it became the seat of the government of Northern Ireland. The district of Belfast has an area of 44 square miles (115 square km). The site of Belfast was occupied during both the Stone and Bronze ages, and the remains of Iron Age forts are discernible on the slopes near the city centre. A castle, probably built there about 1177 by John de Courci, the Norman conqueror of Ulster, seems to have survived until the beginning of the 17th century. The city’s name is derived from the Gaelic Béal Feirste (Mouth of the Sandbank [or Crossing of the River]). Belfast’s modern history began in 1611 when Baron Arthur Chichester built a new castle there. He did much to encourage the growth of the town, which received a charter of incorporation in 1613. Belfast survived the Irish insurrection of 1641, and by 1685 it had a population of about 2,000, largely engaged in brick, rope, net, and sailcloth making. By the late 1730s the castle had been destroyed, but Belfast was beginning to acquire economic importance, superseding both Lisburn as the chief bridge town and Carrickfergus as a port. It became the market centre of the Ulster linen industry, developed by French Huguenot refugees under the patronage of William III of Great Britain at the end of the 17th century. Attempts to establish a cotton industry there were short-lived, but following mechanization of the spinning and weaving of linen, Belfast became one of the greatest linen centres in the world. By the 17th century, the town was a busy port with small shipbuilding interests, which became firmly established after William Ritchie founded a shipyard (1791) and a graving (dry) dock (1796). Since the Industrial Revolution, the chief shipbuilding firm has been Harland and Wolff (builders of the ill-fated Titanic). The city was severely damaged by air raids in 1941 during World War II. Beginning in the 1970s, Belfast’s traditional manufacturing specialties, linen and shipbuilding, began a long decline. These sectors are now overshadowed by service activities, food processing, and machinery manufacture."
